epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,6962.59,1.71634,1.87172,1.68643,0.67167,0.59497,0.63091,0.3743,1.6944,1.67808,1.75198,0.00811,0.00811,0.00811
44,7148.83,1.72277,1.86458,1.68363,0.67393,0.59388,0.63208,0.37468,1.69321,1.67482,1.74997,0.008065,0.008065,0.008065
45,7335.11,1.71815,1.85275,1.68495,0.66926,0.60375,0.63373,0.37631,1.69212,1.67079,1.74914,0.00802,0.00802,0.00802
46,7521.58,1.71518,1.85015,1.67699,0.67695,0.59958,0.63417,0.37694,1.68982,1.66733,1.74637,0.007975,0.007975,0.007975
47,7707.94,1.71293,1.83579,1.67337,0.68211,0.59914,0.63576,0.38021,1.68933,1.66378,1.74439,0.00793,0.00793,0.00793
48,7894.11,1.70833,1.83691,1.66941,0.67861,0.60537,0.6371,0.38225,1.68772,1.66014,1.74239,0.007885,0.007885,0.007885
49,8080.43,1.71026,1.82832,1.67049,0.67287,0.60715,0.63746,0.38237,1.68668,1.65791,1.74118,0.00784,0.00784,0.00784
50,8267.19,1.70188,1.82585,1.66188,0.67675,0.60846,0.63865,0.38302,1.68514,1.65539,1.73938,0.007795,0.007795,0.007795
51,8452.93,1.70716,1.81627,1.66453,0.67543,0.6116,0.63858,0.3845,1.68429,1.65299,1.73807,0.00775,0.00775,0.00775
52,8639,1.6985,1.81895,1.66309,0.67451,0.61246,0.63923,0.38446,1.68365,1.65063,1.73708,0.007705,0.007705,0.007705
53,8825.14,1.69396,1.81204,1.66064,0.67572,0.61249,0.63943,0.38522,1.68276,1.6488,1.73634,0.00766,0.00766,0.00766
54,9012.48,1.69643,1.80574,1.65846,0.67655,0.61369,0.64094,0.38668,1.68241,1.64678,1.73526,0.007615,0.007615,0.007615
