epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,4580.93,1.67942,1.83239,1.61,0.68282,0.5855,0.63249,0.38034,1.6853,1.66294,1.72079,0.009244,0.009244,0.009244
44,4684.38,1.6744,1.82529,1.60843,0.66996,0.59174,0.63164,0.38209,1.68461,1.65908,1.71907,0.009226,0.009226,0.009226
45,4787.44,1.67556,1.83221,1.60897,0.66856,0.59556,0.63315,0.38361,1.68384,1.65487,1.71718,0.009208,0.009208,0.009208
46,4890.91,1.67017,1.80986,1.59915,0.67019,0.5974,0.63444,0.385,1.68332,1.65214,1.71652,0.00919,0.00919,0.00919
47,5012.41,1.67013,1.80662,1.60245,0.66727,0.60051,0.63552,0.3854,1.68134,1.64861,1.7147,0.009172,0.009172,0.009172
48,5202.41,1.67232,1.80379,1.60237,0.67139,0.60114,0.63735,0.3864,1.68067,1.64675,1.71302,0.009154,0.009154,0.009154
49,5392.64,1.66497,1.797,1.59753,0.66969,0.60146,0.63933,0.38888,1.67993,1.64362,1.7112,0.009136,0.009136,0.009136
50,5526.43,1.66161,1.78914,1.59105,0.67547,0.60024,0.64104,0.38951,1.67901,1.64105,1.7096,0.009118,0.009118,0.009118
51,5636.37,1.6551,1.78456,1.5894,0.67069,0.6061,0.64147,0.38979,1.67802,1.63929,1.70775,0.0091,0.0091,0.0091
52,5769.52,1.65614,1.7805,1.58139,0.67155,0.60553,0.64234,0.38969,1.67796,1.63799,1.707,0.009082,0.009082,0.009082
53,5957.75,1.66085,1.77881,1.58379,0.67316,0.60493,0.64366,0.39016,1.67708,1.63531,1.70545,0.009064,0.009064,0.009064
54,6152.63,1.65746,1.77763,1.58586,0.67601,0.6063,0.64387,0.39058,1.67564,1.63266,1.70367,0.009046,0.009046,0.009046
55,6345.19,1.65187,1.76597,1.58323,0.68416,0.60532,0.6448,0.3917,1.67457,1.62976,1.70209,0.009028,0.009028,0.009028
56,6537.41,1.64771,1.76153,1.57726,0.68522,0.60606,0.64516,0.39253,1.67397,1.62738,1.70141,0.00901,0.00901,0.00901
57,6742.24,1.64396,1.76319,1.57843,0.69411,0.60373,0.64571,0.39298,1.67328,1.62554,1.70044,0.008992,0.008992,0.008992
58,6917.62,1.65048,1.76067,1.57826,0.68789,0.60715,0.64605,0.39383,1.67149,1.62464,1.69924,0.008974,0.008974,0.008974
59,7081.32,1.64473,1.75302,1.56934,0.69139,0.60789,0.64669,0.3937,1.67003,1.62366,1.69783,0.008956,0.008956,0.008956
60,7266.37,1.63876,1.74596,1.56577,0.69204,0.60766,0.64744,0.39455,1.6696,1.62232,1.69715,0.008938,0.008938,0.008938
61,7451.75,1.63474,1.74707,1.56161,0.68775,0.60898,0.64826,0.39549,1.66856,1.6208,1.696,0.00892,0.00892,0.00892
62,7636.95,1.64455,1.7545,1.56928,0.68917,0.61081,0.64986,0.39629,1.66705,1.61891,1.69443,0.008902,0.008902,0.008902
63,7822.83,1.64373,1.74384,1.56566,0.69361,0.60933,0.65021,0.39679,1.66631,1.61716,1.69344,0.008884,0.008884,0.008884
64,8006.77,1.63864,1.72857,1.55969,0.69051,0.61155,0.65082,0.39692,1.66531,1.61568,1.69258,0.008866,0.008866,0.008866
65,8123.95,1.63141,1.7269,1.55304,0.69348,0.61041,0.65184,0.39796,1.66433,1.61369,1.69141,0.008848,0.008848,0.008848
66,8231.94,1.63822,1.72123,1.55979,0.69482,0.60988,0.65316,0.39865,1.66391,1.61165,1.69059,0.00883,0.00883,0.00883
67,8351.32,1.63447,1.73511,1.55864,0.69329,0.61053,0.65381,0.3985,1.6633,1.60977,1.68968,0.008812,0.008812,0.008812
68,8465.92,1.62628,1.71888,1.54895,0.69334,0.61165,0.65396,0.39895,1.66232,1.60817,1.68857,0.008794,0.008794,0.008794
69,8659.19,1.63084,1.71516,1.55062,0.69183,0.61271,0.65413,0.39958,1.66164,1.60635,1.6876,0.008776,0.008776,0.008776
70,8829.75,1.62292,1.71635,1.54658,0.69246,0.61194,0.65352,0.39945,1.66099,1.6051,1.68658,0.008758,0.008758,0.008758
71,8935.26,1.62226,1.71302,1.5493,0.69196,0.61289,0.65437,0.40053,1.66033,1.60365,1.68558,0.00874,0.00874,0.00874
72,9048.65,1.62851,1.71139,1.54849,0.69668,0.61087,0.65455,0.40108,1.65948,1.60251,1.68426,0.008722,0.008722,0.008722
73,9154.02,1.62559,1.71165,1.54523,0.69168,0.6133,0.65546,0.40128,1.65885,1.60074,1.68318,0.008704,0.008704,0.008704
74,9296.71,1.62408,1.70238,1.53897,0.69798,0.61254,0.65695,0.40231,1.65807,1.599,1.68162,0.008686,0.008686,0.008686
75,9448,1.6223,1.70452,1.54071,0.69662,0.61597,0.65683,0.40258,1.65739,1.59753,1.68057,0.008668,0.008668,0.008668
76,9557.72,1.62196,1.68965,1.53991,0.69924,0.61742,0.65774,0.40318,1.65638,1.59582,1.67934,0.00865,0.00865,0.00865
77,9675.48,1.62094,1.69619,1.54346,0.70102,0.61682,0.65827,0.40433,1.65535,1.59447,1.67799,0.008632,0.008632,0.008632
78,9782.04,1.61425,1.6866,1.53662,0.70111,0.61748,0.65905,0.40429,1.6546,1.59292,1.6768,0.008614,0.008614,0.008614
79,9887.65,1.61799,1.69049,1.53764,0.70083,0.61555,0.65859,0.40544,1.65373,1.59135,1.6757,0.008596,0.008596,0.008596
80,10000.2,1.61792,1.68934,1.53779,0.69889,0.61778,0.66025,0.40582,1.65361,1.58956,1.67481,0.008578,0.008578,0.008578
81,10106.1,1.61593,1.68048,1.53755,0.69848,0.62011,0.66097,0.40629,1.65272,1.58803,1.67365,0.00856,0.00856,0.00856
82,10222.5,1.61546,1.68014,1.5345,0.70133,0.61965,0.66131,0.40665,1.65291,1.58603,1.67328,0.008542,0.008542,0.008542
83,10409.9,1.60708,1.67231,1.53164,0.70109,0.62009,0.66142,0.40696,1.65245,1.58409,1.6725,0.008524,0.008524,0.008524
84,10516.6,1.61537,1.68096,1.5316,0.69782,0.62553,0.66224,0.40761,1.65149,1.58234,1.67145,0.008506,0.008506,0.008506
85,10694.1,1.61552,1.67547,1.53046,0.69291,0.62859,0.66312,0.40837,1.65089,1.58057,1.67031,0.008488,0.008488,0.008488
86,10890.9,1.60487,1.66964,1.52987,0.69594,0.62685,0.66409,0.40846,1.65032,1.57871,1.66947,0.00847,0.00847,0.00847
87,11046.3,1.60318,1.66889,1.52285,0.6959,0.62651,0.66435,0.40872,1.64968,1.57751,1.66828,0.008452,0.008452,0.008452
88,11166.5,1.60937,1.67225,1.52601,0.69977,0.62528,0.66503,0.40871,1.64898,1.57609,1.66721,0.008434,0.008434,0.008434
89,11297.2,1.60554,1.65885,1.52223,0.70179,0.62465,0.66551,0.40962,1.64857,1.57469,1.66637,0.008416,0.008416,0.008416
