epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,7022.47,1.73307,1.89058,1.67875,0.66123,0.5893,0.61763,0.36419,1.70278,1.69158,1.74195,0.00811,0.00811,0.00811
44,7226,1.73083,1.87905,1.67837,0.66103,0.59136,0.61905,0.36622,1.6995,1.68878,1.73859,0.008065,0.008065,0.008065
45,7429.62,1.73039,1.87688,1.67797,0.66407,0.59274,0.61851,0.36754,1.6974,1.68641,1.73661,0.00802,0.00802,0.00802
46,7629.68,1.72616,1.86978,1.67009,0.65864,0.59632,0.61977,0.37007,1.69556,1.68247,1.73427,0.007975,0.007975,0.007975
47,7831.25,1.72108,1.86094,1.6706,0.65775,0.59532,0.62123,0.37207,1.69413,1.67991,1.73238,0.00793,0.00793,0.00793
48,7979.83,1.71873,1.85961,1.66158,0.66018,0.59809,0.6242,0.37434,1.69245,1.67745,1.7298,0.007885,0.007885,0.007885
49,8098.57,1.72202,1.85387,1.65839,0.66032,0.5997,0.62586,0.37477,1.69113,1.67507,1.72821,0.00784,0.00784,0.00784
50,8215.64,1.71257,1.84464,1.65637,0.65524,0.60082,0.62658,0.37497,1.68965,1.67341,1.72651,0.007795,0.007795,0.007795
51,8337.14,1.71515,1.83076,1.65276,0.66368,0.59911,0.62787,0.37667,1.68844,1.67099,1.72472,0.00775,0.00775,0.00775
52,8458.04,1.71051,1.83784,1.65612,0.66097,0.60328,0.62936,0.37765,1.68772,1.66871,1.72352,0.007705,0.007705,0.007705
53,8573.04,1.70198,1.82981,1.65555,0.66434,0.60424,0.63011,0.37883,1.68631,1.66632,1.7223,0.00766,0.00766,0.00766
54,8685.14,1.70148,1.82419,1.64391,0.66733,0.60534,0.63081,0.37891,1.68612,1.66479,1.72121,0.007615,0.007615,0.007615
55,8797.15,1.69409,1.81652,1.64221,0.66617,0.6024,0.63091,0.37923,1.6859,1.66301,1.72085,0.00757,0.00757,0.00757
56,8909.74,1.69924,1.81013,1.64364,0.66579,0.60218,0.63119,0.37995,1.68508,1.66155,1.72049,0.007525,0.007525,0.007525
57,9048.79,1.7022,1.80663,1.64503,0.66827,0.60171,0.63201,0.38077,1.68473,1.65982,1.71984,0.00748,0.00748,0.00748
58,9224.3,1.69488,1.79894,1.63721,0.67122,0.60096,0.63188,0.38101,1.68466,1.65718,1.7193,0.007435,0.007435,0.007435
59,9433.82,1.69648,1.79579,1.62919,0.67068,0.60427,0.63393,0.38121,1.68402,1.65536,1.7185,0.00739,0.00739,0.00739
60,9640.88,1.69129,1.78742,1.62622,0.67563,0.60405,0.63441,0.38187,1.68302,1.65316,1.71714,0.007345,0.007345,0.007345
61,9842.78,1.69347,1.79146,1.63347,0.67685,0.60377,0.63521,0.38222,1.68256,1.65165,1.71654,0.0073,0.0073,0.0073
62,9973.82,1.68815,1.77895,1.62761,0.6771,0.60606,0.63614,0.38218,1.68164,1.64965,1.71575,0.007255,0.007255,0.007255
63,10089.8,1.68065,1.76974,1.62598,0.67875,0.6065,0.63694,0.38275,1.68052,1.64819,1.71494,0.00721,0.00721,0.00721
64,10203.7,1.6773,1.76992,1.62019,0.68169,0.60462,0.63778,0.38224,1.67935,1.64651,1.71373,0.007165,0.007165,0.007165
65,10319.8,1.68126,1.7683,1.61521,0.68297,0.60537,0.63868,0.38261,1.67864,1.64538,1.71262,0.00712,0.00712,0.00712
66,10432,1.67707,1.76809,1.61548,0.68656,0.60688,0.64098,0.38443,1.67788,1.64314,1.71177,0.007075,0.007075,0.007075
67,10546.5,1.67073,1.76974,1.61559,0.68536,0.60726,0.64189,0.38487,1.67728,1.64189,1.71071,0.00703,0.00703,0.00703
68,10658.6,1.67037,1.75323,1.61181,0.688,0.60767,0.64261,0.3858,1.67656,1.6401,1.71003,0.006985,0.006985,0.006985
69,10769.3,1.66293,1.74221,1.6056,0.68594,0.60851,0.6428,0.38626,1.67607,1.63821,1.70933,0.00694,0.00694,0.00694
70,10879.1,1.66386,1.73654,1.60704,0.68602,0.60809,0.64261,0.38692,1.67533,1.63633,1.70853,0.006895,0.006895,0.006895
71,10992.7,1.66447,1.73679,1.60397,0.68993,0.60626,0.64347,0.38763,1.67419,1.63504,1.70742,0.00685,0.00685,0.00685
72,11109.2,1.66269,1.73261,1.60496,0.69003,0.60658,0.64409,0.38823,1.67333,1.63315,1.70631,0.006805,0.006805,0.006805
