epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,8924.93,1.69946,1.84191,1.63637,0.67237,0.60782,0.63598,0.38945,1.67018,1.64477,1.69683,0.009244,0.009244,0.009244
44,9112.88,1.69492,1.82982,1.62747,0.66803,0.61074,0.63733,0.38969,1.66856,1.64038,1.69561,0.009226,0.009226,0.009226
45,9300.36,1.69934,1.82814,1.62898,0.67728,0.60847,0.63787,0.38974,1.66714,1.63612,1.69337,0.009208,0.009208,0.009208
46,9487.17,1.69336,1.82493,1.62301,0.67554,0.60511,0.63854,0.38906,1.6673,1.63312,1.69184,0.00919,0.00919,0.00919
47,9675.46,1.69162,1.81082,1.62674,0.67942,0.60706,0.63955,0.3902,1.66557,1.63078,1.6897,0.009172,0.009172,0.009172
48,9862.63,1.68788,1.80294,1.61672,0.67722,0.61226,0.64067,0.39152,1.66427,1.62855,1.68804,0.009154,0.009154,0.009154
49,10050.1,1.69249,1.79991,1.61907,0.68044,0.60996,0.64212,0.3927,1.66363,1.62527,1.68655,0.009136,0.009136,0.009136
50,10238.3,1.68302,1.79951,1.61117,0.68436,0.61753,0.64388,0.39226,1.66208,1.62338,1.6852,0.009118,0.009118,0.009118
51,10428.8,1.68645,1.78463,1.60578,0.68944,0.618,0.64608,0.39374,1.66122,1.62128,1.68356,0.0091,0.0091,0.0091
52,10615.1,1.683,1.78839,1.60971,0.68488,0.61983,0.64642,0.39385,1.66114,1.6196,1.68321,0.009082,0.009082,0.009082
53,10802.9,1.67534,1.78652,1.60987,0.68389,0.62562,0.64814,0.39446,1.6601,1.61813,1.68196,0.009064,0.009064,0.009064
54,10992.3,1.67411,1.77917,1.60493,0.68201,0.62657,0.64852,0.39526,1.65968,1.61685,1.6812,0.009046,0.009046,0.009046
55,11180.4,1.66621,1.77472,1.60157,0.69418,0.62114,0.64936,0.39724,1.65883,1.61464,1.68034,0.009028,0.009028,0.009028
56,11369.8,1.66887,1.76693,1.60044,0.69607,0.6225,0.64975,0.39797,1.65861,1.61303,1.67968,0.00901,0.00901,0.00901
57,11555.2,1.67392,1.76179,1.60149,0.69591,0.62252,0.65029,0.39941,1.65821,1.61104,1.67879,0.008992,0.008992,0.008992
58,11742.8,1.66507,1.76185,1.59759,0.69281,0.62382,0.65054,0.40012,1.6575,1.60971,1.67787,0.008974,0.008974,0.008974
59,11928.5,1.66951,1.75686,1.59291,0.69118,0.62428,0.65083,0.4006,1.65688,1.60759,1.677,0.008956,0.008956,0.008956
60,12059.4,1.66724,1.75318,1.59038,0.69253,0.62461,0.65182,0.40088,1.65622,1.60628,1.67582,0.008938,0.008938,0.008938
61,12164.3,1.666,1.75032,1.58945,0.69107,0.62533,0.6523,0.40161,1.65555,1.60463,1.67491,0.00892,0.00892,0.00892
62,12268.5,1.66296,1.746,1.58767,0.69407,0.62447,0.65257,0.40234,1.65447,1.60247,1.67361,0.008902,0.008902,0.008902
63,12371,1.65746,1.73548,1.58144,0.69526,0.62326,0.65299,0.40226,1.65355,1.60085,1.67275,0.008884,0.008884,0.008884
64,12473.7,1.65302,1.72742,1.58159,0.6979,0.62195,0.65367,0.40333,1.65276,1.59952,1.67146,0.008866,0.008866,0.008866
65,12576.4,1.659,1.73404,1.57908,0.70017,0.62415,0.65472,0.40356,1.65245,1.59776,1.67071,0.008848,0.008848,0.008848
66,12679.2,1.6579,1.73319,1.58263,0.6946,0.62441,0.65485,0.40356,1.65174,1.59629,1.66967,0.00883,0.00883,0.00883
67,12781.4,1.653,1.74226,1.58045,0.70066,0.6237,0.6554,0.40398,1.65112,1.59463,1.66909,0.008812,0.008812,0.008812
68,12883.9,1.65127,1.72298,1.57572,0.70129,0.62379,0.65656,0.40438,1.65058,1.59307,1.66827,0.008794,0.008794,0.008794
69,12986.1,1.64691,1.71902,1.57409,0.70237,0.62387,0.65718,0.40416,1.65029,1.59183,1.66754,0.008776,0.008776,0.008776
70,13088.1,1.64571,1.71454,1.57361,0.70566,0.61834,0.6567,0.40426,1.64958,1.58992,1.66668,0.008758,0.008758,0.008758
71,13190.9,1.6478,1.71884,1.57544,0.70483,0.62041,0.65694,0.40487,1.64884,1.58846,1.66606,0.00874,0.00874,0.00874
72,13293.2,1.64635,1.71216,1.57136,0.70689,0.62109,0.65724,0.40578,1.6484,1.58633,1.66512,0.008722,0.008722,0.008722
73,13395.5,1.65388,1.71017,1.57507,0.70714,0.62108,0.65779,0.40622,1.64757,1.58434,1.66426,0.008704,0.008704,0.008704
74,13498.1,1.63979,1.70583,1.56642,0.70539,0.62337,0.65874,0.4068,1.64637,1.58253,1.66311,0.008686,0.008686,0.008686
75,13600.6,1.64144,1.70229,1.56289,0.70854,0.62073,0.65942,0.40796,1.64569,1.5816,1.66249,0.008668,0.008668,0.008668
76,13702.5,1.64944,1.70017,1.56653,0.70889,0.62067,0.65981,0.40799,1.6454,1.58019,1.66217,0.00865,0.00865,0.00865
77,13804.3,1.64681,1.69869,1.56547,0.70695,0.62249,0.66008,0.40759,1.64432,1.57896,1.66108,0.008632,0.008632,0.008632
78,13905.2,1.63889,1.69458,1.56305,0.70932,0.62127,0.66038,0.40858,1.64374,1.57761,1.66021,0.008614,0.008614,0.008614
79,14006.2,1.64073,1.69251,1.558,0.70381,0.62534,0.66092,0.40978,1.64355,1.57641,1.65942,0.008596,0.008596,0.008596
80,14107,1.64491,1.69995,1.55961,0.70206,0.62633,0.66098,0.40965,1.643,1.57499,1.65871,0.008578,0.008578,0.008578
81,14207.8,1.63827,1.68239,1.55692,0.70472,0.62496,0.66158,0.40987,1.64245,1.57358,1.6578,0.00856,0.00856,0.00856
82,14308.9,1.63913,1.691,1.55439,0.70201,0.62764,0.66201,0.40948,1.64208,1.57192,1.65734,0.008542,0.008542,0.008542
83,14409.7,1.63192,1.6797,1.5494,0.70083,0.62941,0.66282,0.41028,1.64162,1.5704,1.65667,0.008524,0.008524,0.008524
84,14510.6,1.63263,1.67812,1.5519,0.70266,0.62793,0.66355,0.41069,1.64105,1.56878,1.65573,0.008506,0.008506,0.008506
85,14611.7,1.63493,1.66862,1.55364,0.70767,0.62762,0.66435,0.41102,1.64031,1.56657,1.65473,0.008488,0.008488,0.008488
86,14712.9,1.62864,1.66678,1.54629,0.70847,0.62742,0.66502,0.4112,1.64006,1.56485,1.65425,0.00847,0.00847,0.00847
87,14813.8,1.62544,1.66401,1.54563,0.70966,0.62758,0.66589,0.41142,1.63934,1.56336,1.65324,0.008452,0.008452,0.008452
88,14914.9,1.62425,1.66333,1.54521,0.70714,0.62981,0.66548,0.41188,1.63865,1.56222,1.65228,0.008434,0.008434,0.008434
89,15015.7,1.62261,1.6641,1.54835,0.7088,0.63036,0.66706,0.41233,1.63789,1.56012,1.65101,0.008416,0.008416,0.008416
90,15116.6,1.62867,1.67108,1.55183,0.70839,0.63076,0.66609,0.41272,1.63778,1.55843,1.65049,0.008398,0.008398,0.008398
91,15217.3,1.62903,1.66371,1.55228,0.70961,0.63353,0.66747,0.41299,1.63747,1.55646,1.64957,0.00838,0.00838,0.00838
92,15318,1.61819,1.65345,1.54265,0.71124,0.63239,0.66769,0.4132,1.63722,1.55512,1.64912,0.008362,0.008362,0.008362
93,15419,1.61568,1.65007,1.53846,0.71311,0.63291,0.66837,0.41465,1.63669,1.55386,1.64855,0.008344,0.008344,0.008344
94,15520.1,1.62224,1.65898,1.54153,0.71409,0.63082,0.66856,0.41498,1.63637,1.55261,1.64797,0.008326,0.008326,0.008326
95,15621.4,1.62411,1.65896,1.54079,0.71426,0.63116,0.66935,0.41524,1.63591,1.55115,1.64706,0.008308,0.008308,0.008308
96,15722.3,1.62339,1.64901,1.5388,0.71307,0.63261,0.66935,0.4158,1.63569,1.54964,1.64608,0.00829,0.00829,0.00829
97,15823.2,1.62315,1.65218,1.54085,0.71369,0.63311,0.67018,0.41643,1.63499,1.54825,1.64517,0.008272,0.008272,0.008272
98,15924.1,1.61714,1.64939,1.53908,0.71409,0.63318,0.6706,0.41631,1.63442,1.54676,1.64418,0.008254,0.008254,0.008254
99,16025.2,1.61822,1.63629,1.53476,0.71517,0.63395,0.67256,0.41623,1.63445,1.54474,1.64374,0.008236,0.008236,0.008236
100,16126.1,1.61722,1.6446,1.53628,0.71803,0.63372,0.67435,0.41754,1.634,1.54352,1.64278,0.008218,0.008218,0.008218
101,16226.9,1.61418,1.63713,1.52875,0.72062,0.63223,0.67453,0.41852,1.6328,1.5424,1.64165,0.0082,0.0082,0.0082
102,16328,1.61859,1.64339,1.53487,0.72001,0.63342,0.67552,0.41927,1.63214,1.54111,1.6406,0.008182,0.008182,0.008182
103,16429,1.61002,1.62994,1.52776,0.72051,0.6344,0.67548,0.41977,1.63172,1.53927,1.6396,0.008164,0.008164,0.008164
104,16530.3,1.60555,1.62714,1.52544,0.72155,0.63376,0.67568,0.41996,1.63054,1.53767,1.6385,0.008146,0.008146,0.008146
